SKU,buy now URL,Product name,Product description,,DBP_ex_GST,RRP_inc_GST,Product Image URL
NHU-USW-PRO-XG-48-POE,https://partner.leadersystems.com.au/products.html?qo2wif60WHM=10DT48BHHqnTehsU7y39lQ==/OLQnSUwvWyW/c0uq/ekJCIDQGADMtNEQH7LRLQ=,Switch Pro XG 48 PoE,"Professional-grade, 48-port Layer 3 Etherlighting™ PoE+++ switch with (32) 10 GbE, (16) 2.5 GbE PoE, and (4) 25G SFP28 ports.",,3550,5109,https://cdn.ecomm.ui.com/products/b4f97072-47c3-4ea1-96aa-616b94c1ca05/ffad1ad8-f360-420b-9a67-39f12065c33e.png
NHU-PRO-XG-AGGREGATION,https://partner.leadersystems.com.au/products.html?xY9sNEIZN/k=XY49fgcJiApEy0eDak+bVA==egJImMjHzXR9Gwjp+YwC0Zf9vkzVG2m9kKgnfZ7E,Switch Pro XG Aggregation,"Professional-grade 32-port, Layer 3 Etherlighting™ switch for high-capacity 25G SFP28 connections.",,3489,5019,https://cdn.ecomm.ui.com/products/2f42897e-4b8e-4851-af6a-5106211f979e/e541f8bf-a009-427f-815f-7966afbfd1ac.png
NHU-USW-PRO-XG-24-POE,https://partner.leadersystems.com.au/products.html?Kg/kcxt25Ac=RjLrEYmc1sGbW+4pPKnqUQ==/Pr9ICNkv6uIQdsucmr4NRTWPYjylWwdJqxTtzg=,Switch Pro XG 24 PoE,"Professional-grade, 24-port Layer 3 Etherlighting™ PoE+++ switch with (16) 10 GbE, (8) 2.5 GbE, and (2) 25G SFP28 ports.",,2530,3629,https://cdn.ecomm.ui.com/products/b6f03374-2a31-428c-86fb-62b49739c924/89656ee3-c3f8-424e-b3b1-e493508deffa.png
NHU-USW-PRO-M-48-POE,https://partner.leadersystems.com.au/products.html?F4gP58YdWuM=q8efcwQ8YKm5HgTaRN/W0g==dGQRLQE1r8O6TuOL354IjWvqtmDFz+W76dfY1g==,Switch Pro Max 48 PoE,"A 48-port, Layer 3 Etherlighting™ switch with 2.5 GbE and PoE++ output.",,2162,2579,https://cdn.ecomm.ui.com/products/51e22689-9b81-4717-beed-fe2c65c57362/18b790aa-f0b3-4e6b-9aca-63948c65535d.png
NHU-USW-PRO-XG-10-POE,https://partner.leadersystems.com.au/products.html?yMWkXPUP1J4=kKurn+cRjejX2WnvvFpLow==vNBtcF/cjw+oZS8GXC6vysSLziPybvnsOAfP+ho=,Switch Pro XG 10 PoE,"1U, professional-grade 10-port, Layer 3 Etherlighting™ PoE+++ switch with (10) 10 GbE and (2) 10G SFP+ ports.",,1030,1469,https://cdn.ecomm.ui.com/products/2617380d-b3a8-47c3-802f-fcc22d24e931/0af98290-e7a4-4d4f-b4e5-bd781f3d2132.png
NHU-USW-PRO-HD-24-POE,https://partner.leadersystems.com.au/products.html?2D1oCgUDANU=ddHtIH1QtZKaUavUE07szw==EcWnu2Ka4CuZ85QVzjccyZv+FtSyNk7EX7tmFYU=,Switch Pro HD 24 PoE,"Professional-grade, Layer 3 Etherlighting™ switch with (2) 10 GbE PoE++, (22) 2.5 GbE PoE++, and (4) 10G SFP+ ports.",,1399,2009,https://cdn.ecomm.ui.com/products/17d901a5-c99b-4b02-8d3b-8cb7a5da0512/2ce20101-767d-4e15-b0dc-80449d2807a1.png
NHU-USW-PRO-HD-24,https://partner.leadersystems.com.au/products.html?XVY1WF79CfY=UF+GB16GciLsZHxKxMtAAA==HFsQqHDxGbyRf/frIO3G7Kg1kILXZRe2Yg==,Switch Pro HD 24,"Professional-grade, Layer 3 Etherlighting™ switch with (2) 10 GbE, (22) 2.5 GbE, and (4) 10G SFP+ ports.",,875,1259,https://cdn.ecomm.ui.com/products/66804bfc-9afd-453c-adbb-7327d8cebe25/387ab337-f5c8-4f8f-94e1-cffc8888ad1d.png
NHU-UNAS-PRO-8,https://partner.leadersystems.com.au/products.html?ppEpJNsMmdE=2dW0eEZBgpr+xRLrbwbcig==ywgyIYA7aR8AHRbnXnpGRFCZzNQwxA==,UNAS Pro 8,"2U rack-mount NAS with (8) 2.5/3.5"" HDD bays and (2) M.2 NVMe SSD cache slots, delivering faster access, lower latency, and high-availability 10 Gbps networking for large-scale file storage and sharing.",,1319,1569,https://cdn.ecomm.ui.com/products/c834c44a-84e4-426f-975b-48f0842396bd/6e6eeaf6-aee7-4694-9858-d4f04c148dd6.png
NHU-UNVR-INSTANT-KIT,https://partner.leadersystems.com.au/products.html?twtDfpi3wtw=Yh+jLaSW8/ysaT69J5VQqA==mg7K7PaMbkqRM7NLOebPK+rkeoTzU4uu+a19XA==,Network Video Recorder Instant Kit,"Compact UniFi Protect NVR Kit, includes (1) UniFi Protect NVR Instant with (4) G5 Turret Ultra cameras and (1) 1TB HDD, delivering an all-in-one solution for fast and effortless setup.",,899,1289,https://cdn.ecomm.ui.com/products/5473e4c5-8ba8-4d05-8942-5b902b047c3f/48a68b51-05b9-460c-bb26-a474c00104ba.png
NHU-UNVR-INSTANT,https://partner.leadersystems.com.au/products.html?hOzvRuh0yyw=xhUHQQ2UakJex6EIi5QMaw==nIXxPr3l5IA4GC4drAFx2Ngy5HqeP+I4,Network Video Recorder Instant,"Compact UniFi Protect NVR with 3.5"" HDD support, featuring an integrated 6-port PoE switch, integrated HDMI View Port, and a capacity for (6) 4K camera or (15) Full HD cameras.",,299,419,https://cdn.ecomm.ui.com/products/2dbe9adc-63b6-4382-af03-2328529b9b66/b47cc172-1fa1-42ef-9ab2-f716a31ffb2d.png
NHU-UCG-MAX,https://partner.leadersystems.com.au/products.html?eweLwUOBfXc=WhU7xRGHpoDickcQEg+hkw==LYAIs+vFG8nLE2GZRHyVqT1L8g==,Cloud Gateway Max,"Compact 2.5G Cloud Gateway with 30+ UniFi device / 300+ client support, 2.3 Gbps IPS routing, and selectable NVR storage.",,430,589,https://cdn.ecomm.ui.com/products/8cca3680-14a6-496a-af7d-beba49cea3f2/7c6f4e54-1f20-485a-a0f0-22e968b66a66.png
NHU-UCG-FIBER,https://partner.leadersystems.com.au/products.html?aN3jsy0J7hU=P4XfY16mdmyhvFcGOwT7kg==D2OUXWKw6/Ve6YsRgSv5A1vrdsya,Cloud Gateway Fiber,"Desktop 10G Cloud Gateway with integrated 4-port 2.5 GbE switch, selectable NVR storage, and full UniFi application support.",,430,559,https://cdn.ecomm.ui.com/products/48cf74fa-0456-4c5f-bbcc-c1a1ffdc11f9/465257f3-0acc-4a11-bb15-762e7f6c0e9c.png
NHU-UFP-VIEWPORT,https://partner.leadersystems.com.au/products.html?nX9UYGUfZAU=ry1rIQ+Pax/542CWERdNOA==R3Ks5uNSa6B0eYuuTEB/opD6oW+jmXN+,Protect Viewport,Easy-to-use hub for viewing Protect camera feeds on an HDMI display.,,335,439,https://cdn.ecomm.ui.com/products/8166e57f-3ab1-4683-8e89-d88d7e4ae171/e519b029-32c7-4227-bf89-fb891a813575.png
NHU-U7-PRO-WALL,https://partner.leadersystems.com.au/products.html?znEzSgT3z74=I2P91HhpEXErKB5csTV67Q==RRibqhUZUoXrDskLjVX09fHBuN06oEA=,Access Point U7 Pro Wall,Wall-mounted WiFi 7 AP with 6 spatial streams and 6 GHz support tailored for home builders with seamless installation options.,,297,449,https://cdn.ecomm.ui.com/products/7dacb4f6-b703-4154-9264-784f2eb0dbda/f1cb65a5-c557-4e02-bcbb-090502a95b84.png
NHU-U6-MESH,https://partner.leadersystems.com.au/products.html?Cn3NMrAR4Sw=dUDoSjP+lguajE1bqOpIqw==coYW3c3yJRo2xykPU7N1DiK6ug==,Access Point U6 Mesh,"Sleek, indoor/outdoor WiFi 6 AP with 6 spatial streams designed for mesh applications.",,290,399,https://cdn.ecomm.ui.com/products/7b8f8da5-d684-4170-be1f-71b53af8d7f9/fdce5345-80e9-4edd-bf5b-93cf9141649e.png
NHU-UP-FLOODLIGHT,https://partner.leadersystems.com.au/products.html?ag8F+I71Hik=gL0ap3z+//7P+3KNVI8n+Q==yC4gW40AbpYWAIcCcCDky9qnzEG1kBrtqA==,Protect Floodlight,Bright motion-triggered light.,,162,219,https://cdn.ecomm.ui.com/products/a31e92ef-7df5-43db-be16-e3e1de609787/ab82988b-d135-4a47-b3e1-03ce66106e82.png
